sample,fastq_1,fastq_3,strandedness
SRR17736113,fastq/SRR17736113_1.fastq.gz,fastq/SRR17736113_3.fastq.gz,unstranded
SRR17736114,fastq/SRR17736114_1.fastq.gz,fastq/SRR17736114_3.fastq.gz,unstranded
SRR17736115,fastq/SRR17736115_1.fastq.gz,fastq/SRR17736115_3.fastq.gz,unstranded
SRR17736116,fastq/SRR17736116_1.fastq.gz,fastq/SRR17736116_3.fastq.gz,unstranded
SRR17736117,fastq/SRR17736117_1.fastq.gz,fastq/SRR17736117_3.fastq.gz,unstranded
SRR17736118,fastq/SRR17736118_1.fastq.gz,fastq/SRR17736118_3.fastq.gz,unstranded
SRR17736119,fastq/SRR17736119_1.fastq.gz,fastq/SRR17736119_3.fastq.gz,unstranded
SRR17736120,fastq/SRR17736120_1.fastq.gz,fastq/SRR17736120_3.fastq.gz,unstranded
SRR17736121,fastq/SRR17736121_1.fastq.gz,fastq/SRR17736121_3.fastq.gz,unstranded
SRR17736122,fastq/SRR17736122_1.fastq.gz,fastq/SRR17736122_3.fastq.gz,unstranded
SRR17736123,fastq/SRR17736123_1.fastq.gz,fastq/SRR17736123_3.fastq.gz,unstranded
SRR17736124,fastq/SRR17736124_1.fastq.gz,fastq/SRR17736124_3.fastq.gz,unstranded
SRR17736125,fastq/SRR17736125_1.fastq.gz,fastq/SRR17736125_3.fastq.gz,unstranded
SRR17736126,fastq/SRR17736126_1.fastq.gz,fastq/SRR17736126_3.fastq.gz,unstranded
SRR17736127,fastq/SRR17736127_1.fastq.gz,fastq/SRR17736127_3.fastq.gz,unstranded
SRR17736128,fastq/SRR17736128_1.fastq.gz,fastq/SRR17736128_3.fastq.gz,unstranded
SRR17736129,fastq/SRR17736129_1.fastq.gz,fastq/SRR17736129_3.fastq.gz,unstranded
SRR17736130,fastq/SRR17736130_1.fastq.gz,fastq/SRR17736130_3.fastq.gz,unstranded
SRR17736131,fastq/SRR17736131_1.fastq.gz,fastq/SRR17736131_3.fastq.gz,unstranded
SRR17736132,fastq/SRR17736132_1.fastq.gz,fastq/SRR17736132_3.fastq.gz,unstranded
SRR17736133,fastq/SRR17736133_1.fastq.gz,fastq/SRR17736133_3.fastq.gz,unstranded
SRR17736134,fastq/SRR17736134_1.fastq.gz,fastq/SRR17736134_3.fastq.gz,unstranded
SRR17736135,fastq/SRR17736135_1.fastq.gz,fastq/SRR17736135_3.fastq.gz,unstranded
SRR17736136,fastq/SRR17736136_1.fastq.gz,fastq/SRR17736136_3.fastq.gz,unstranded
SRR17736137,fastq/SRR17736137_1.fastq.gz,fastq/SRR17736137_3.fastq.gz,unstranded
SRR17736138,fastq/SRR17736138_1.fastq.gz,fastq/SRR17736138_3.fastq.gz,unstranded
SRR17736139,fastq/SRR17736139_1.fastq.gz,fastq/SRR17736139_3.fastq.gz,unstranded
SRR17736140,fastq/SRR17736140_1.fastq.gz,fastq/SRR17736140_3.fastq.gz,unstranded
SRR17736141,fastq/SRR17736141_1.fastq.gz,fastq/SRR17736141_3.fastq.gz,unstranded
SRR17736142,fastq/SRR17736142_1.fastq.gz,fastq/SRR17736142_3.fastq.gz,unstranded
SRR17736143,fastq/SRR17736143_1.fastq.gz,fastq/SRR17736143_3.fastq.gz,unstranded
SRR17736144,fastq/SRR17736144_1.fastq.gz,fastq/SRR17736144_3.fastq.gz,unstranded
SRR17736145,fastq/SRR17736145_1.fastq.gz,fastq/SRR17736145_3.fastq.gz,unstranded
SRR17736146,fastq/SRR17736146_1.fastq.gz,fastq/SRR17736146_3.fastq.gz,unstranded
SRR17736147,fastq/SRR17736147_1.fastq.gz,fastq/SRR17736147_3.fastq.gz,unstranded
SRR17736148,fastq/SRR17736148_1.fastq.gz,fastq/SRR17736148_3.fastq.gz,unstranded
SRR17736149,fastq/SRR17736149_1.fastq.gz,fastq/SRR17736149_3.fastq.gz,unstranded
SRR17736150,fastq/SRR17736150_1.fastq.gz,fastq/SRR17736150_3.fastq.gz,unstranded
SRR17736151,fastq/SRR17736151_1.fastq.gz,fastq/SRR17736151_3.fastq.gz,unstranded
SRR17736152,fastq/SRR17736152_1.fastq.gz,fastq/SRR17736152_3.fastq.gz,unstranded
SRR17736153,fastq/SRR17736153_1.fastq.gz,fastq/SRR17736153_3.fastq.gz,unstranded
SRR17736154,fastq/SRR17736154_1.fastq.gz,fastq/SRR17736154_3.fastq.gz,unstranded
SRR17736155,fastq/SRR17736155_1.fastq.gz,fastq/SRR17736155_3.fastq.gz,unstranded
SRR17736156,fastq/SRR17736156_1.fastq.gz,fastq/SRR17736156_3.fastq.gz,unstranded
SRR17736157,fastq/SRR17736157_1.fastq.gz,fastq/SRR17736157_3.fastq.gz,unstranded
SRR17736158,fastq/SRR17736158_1.fastq.gz,fastq/SRR17736158_3.fastq.gz,unstranded
SRR17736159,fastq/SRR17736159_1.fastq.gz,fastq/SRR17736159_3.fastq.gz,unstranded
SRR17736160,fastq/SRR17736160_1.fastq.gz,fastq/SRR17736160_3.fastq.gz,unstranded
SRR17736161,fastq/SRR17736161_1.fastq.gz,fastq/SRR17736161_3.fastq.gz,unstranded
SRR17736162,fastq/SRR17736162_1.fastq.gz,fastq/SRR17736162_3.fastq.gz,unstranded
SRR17736163,fastq/SRR17736163_1.fastq.gz,fastq/SRR17736163_3.fastq.gz,unstranded
SRR17736164,fastq/SRR17736164_1.fastq.gz,fastq/SRR17736164_3.fastq.gz,unstranded
SRR17736165,fastq/SRR17736165_1.fastq.gz,fastq/SRR17736165_3.fastq.gz,unstranded
SRR17736166,fastq/SRR17736166_1.fastq.gz,fastq/SRR17736166_3.fastq.gz,unstranded
SRR17736167,fastq/SRR17736167_1.fastq.gz,fastq/SRR17736167_3.fastq.gz,unstranded
SRR17736168,fastq/SRR17736168_1.fastq.gz,fastq/SRR17736168_3.fastq.gz,unstranded
SRR17736169,fastq/SRR17736169_1.fastq.gz,fastq/SRR17736169_3.fastq.gz,unstranded
SRR17736170,fastq/SRR17736170_1.fastq.gz,fastq/SRR17736170_3.fastq.gz,unstranded
SRR17736171,fastq/SRR17736171_1.fastq.gz,fastq/SRR17736171_3.fastq.gz,unstranded
SRR17736172,fastq/SRR17736172_1.fastq.gz,fastq/SRR17736172_3.fastq.gz,unstranded
SRR17736173,fastq/SRR17736173_1.fastq.gz,fastq/SRR17736173_3.fastq.gz,unstranded
SRR17736174,fastq/SRR17736174_1.fastq.gz,fastq/SRR17736174_3.fastq.gz,unstranded
SRR17736175,fastq/SRR17736175_1.fastq.gz,fastq/SRR17736175_3.fastq.gz,unstranded
SRR17736176,fastq/SRR17736176_1.fastq.gz,fastq/SRR17736176_3.fastq.gz,unstranded
SRR17736177,fastq/SRR17736177_1.fastq.gz,fastq/SRR17736177_3.fastq.gz,unstranded
SRR17736178,fastq/SRR17736178_1.fastq.gz,fastq/SRR17736178_3.fastq.gz,unstranded
SRR17736179,fastq/SRR17736179_1.fastq.gz,fastq/SRR17736179_3.fastq.gz,unstranded
SRR17736180,fastq/SRR17736180_1.fastq.gz,fastq/SRR17736180_3.fastq.gz,unstranded
SRR17736181,fastq/SRR17736181_1.fastq.gz,fastq/SRR17736181_3.fastq.gz,unstranded
SRR17736182,fastq/SRR17736182_1.fastq.gz,fastq/SRR17736182_3.fastq.gz,unstranded
SRR17736183,fastq/SRR17736183_1.fastq.gz,fastq/SRR17736183_3.fastq.gz,unstranded
SRR17736184,fastq/SRR17736184_1.fastq.gz,fastq/SRR17736184_3.fastq.gz,unstranded
SRR17736185,fastq/SRR17736185_1.fastq.gz,fastq/SRR17736185_3.fastq.gz,unstranded
SRR17736186,fastq/SRR17736186_1.fastq.gz,fastq/SRR17736186_3.fastq.gz,unstranded
SRR17736187,fastq/SRR17736187_1.fastq.gz,fastq/SRR17736187_3.fastq.gz,unstranded
SRR17736188,fastq/SRR17736188_1.fastq.gz,fastq/SRR17736188_3.fastq.gz,unstranded
SRR17736189,fastq/SRR17736189_1.fastq.gz,fastq/SRR17736189_3.fastq.gz,unstranded
SRR17736190,fastq/SRR17736190_1.fastq.gz,fastq/SRR17736190_3.fastq.gz,unstranded
SRR17736191,fastq/SRR17736191_1.fastq.gz,fastq/SRR17736191_3.fastq.gz,unstranded
SRR17736192,fastq/SRR17736192_1.fastq.gz,fastq/SRR17736192_3.fastq.gz,unstranded
SRR17736193,fastq/SRR17736193_1.fastq.gz,fastq/SRR17736193_3.fastq.gz,unstranded
SRR17736194,fastq/SRR17736194_1.fastq.gz,fastq/SRR17736194_3.fastq.gz,unstranded
SRR17736195,fastq/SRR17736195_1.fastq.gz,fastq/SRR17736195_3.fastq.gz,unstranded
SRR17736196,fastq/SRR17736196_1.fastq.gz,fastq/SRR17736196_3.fastq.gz,unstranded
SRR17736197,fastq/SRR17736197_1.fastq.gz,fastq/SRR17736197_3.fastq.gz,unstranded
SRR17736198,fastq/SRR17736198_1.fastq.gz,fastq/SRR17736198_3.fastq.gz,unstranded
SRR17736199,fastq/SRR17736199_1.fastq.gz,fastq/SRR17736199_3.fastq.gz,unstranded
SRR17736200,fastq/SRR17736200_1.fastq.gz,fastq/SRR17736200_3.fastq.gz,unstranded
SRR17736201,fastq/SRR17736201_1.fastq.gz,fastq/SRR17736201_3.fastq.gz,unstranded
SRR17736202,fastq/SRR17736202_1.fastq.gz,fastq/SRR17736202_3.fastq.gz,unstranded
SRR17736203,fastq/SRR17736203_1.fastq.gz,fastq/SRR17736203_3.fastq.gz,unstranded
